Source,Target,Type,Weight
0,15,Undirected,1
0,23,Undirected,1
0,37,Undirected,1
0,50,Undirected,1
0,82,Undirected,1
0,148,Undirected,1
0,151,Undirected,1
0,167,Undirected,1
0,174,Undirected,1
0,188,Undirected,1
0,217,Undirected,1
0,253,Undirected,1
0,282,Undirected,1
0,295,Undirected,1
0,308,Undirected,1
0,376,Undirected,1
0,384,Undirected,1
0,393,Undirected,1
0,473,Undirected,1
0,477,Undirected,1
0,489,Undirected,1
0,493,Undirected,1
1,31,Undirected,1
1,32,Undirected,1
1,56,Undirected,1
1,63,Undirected,1
1,87,Undirected,1
1,96,Undirected,1
1,133,Undirected,1
1,153,Undirected,1
1,165,Undirected,1
1,171,Undirected,1
1,186,Undirected,1
1,270,Undirected,1
1,300,Undirected,1
1,319,Undirected,1
1,331,Undirected,1
1,362,Undirected,1
1,381,Undirected,1
1,399,Undirected,1
1,419,Undirected,1
1,428,Undirected,1
1,475,Undirected,1
1,486,Undirected,1
2,21,Undirected,1
2,57,Undirected,1
2,95,Undirected,1
2,125,Undirected,1
2,127,Undirected,1
2,132,Undirected,1
2,143,Undirected,1
2,275,Undirected,1
2,325,Undirected,1
2,350,Undirected,1
2,361,Undirected,1
2,369,Undirected,1
2,395,Undirected,1
2,442,Undirected,1
2,444,Undirected,1
2,462,Undirected,1
3,6,Undirected,1
3,36,Undirected,1
3,98,Undirected,1
3,128,Undirected,1
3,185,Undirected,1
3,221,Undirected,1
3,245,Undirected,1
3,264,Undirected,1
3,292,Undirected,1
3,312,Undirected,1
3,499,Undirected,1
4,9,Undirected,1
4,11,Undirected,1
4,30,Undirected,1
4,31,Undirected,1
4,63,Undirected,1
4,91,Undirected,1
4,131,Undirected,1
4,155,Undirected,1
4,160,Undirected,1
4,165,Undirected,1
4,186,Undirected,1
4,197,Undirected,1
4,215,Undirected,1
4,225,Undirected,1
4,227,Undirected,1
4,232,Undirected,1
4,244,Undirected,1
4,266,Undirected,1
4,270,Undirected,1
4,291,Undirected,1
4,314,Undirected,1
4,339,Undirected,1
4,348,Undirected,1
4,381,Undirected,1
4,419,Undirected,1
4,422,Undirected,1
4,428,Undirected,1
4,443,Undirected,1
5,17,Undirected,1
5,18,Undirected,1
5,21,Undirected,1
5,22,Undirected,1
5,39,Undirected,1
5,85,Undirected,1
5,99,Undirected,1
5,124,Undirected,1
5,125,Undirected,1
5,127,Undirected,1
5,143,Undirected,1
5,190,Undirected,1
5,205,Undirected,1
5,259,Undirected,1
5,271,Undirected,1
5,283,Undirected,1
5,284,Undirected,1
5,302,Undirected,1
5,332,Undirected,1
5,345,Undirected,1
5,361,Undirected,1
5,373,Undirected,1
5,389,Undirected,1
5,408,Undirected,1
5,412,Undirected,1
5,432,Undirected,1
5,433,Undirected,1
5,441,Undirected,1
5,442,Undirected,1
5,459,Undirected,1
5,462,Undirected,1
5,485,Undirected,1
6,8,Undirected,1
6,98,Undirected,1
6,128,Undirected,1
6,187,Undirected,1
6,209,Undirected,1
6,240,Undirected,1
6,245,Undirected,1
6,264,Undirected,1
6,343,Undirected,1
6,398,Undirected,1
6,499,Undirected,1
7,39,Undirected,1
7,41,Undirected,1
7,46,Undirected,1
7,69,Undirected,1
7,80,Undirected,1
7,85,Undirected,1
7,111,Undirected,1
7,119,Undirected,1
7,143,Undirected,1
7,190,Undirected,1
7,204,Undirected,1
7,259,Undirected,1
7,288,Undirected,1
7,302,Undirected,1
7,340,Undirected,1
7,361,Undirected,1
7,369,Undirected,1
7,371,Undirected,1
7,372,Undirected,1
7,373,Undirected,1
7,433,Undirected,1
7,444,Undirected,1
7,480,Undirected,1
7,500,Undirected,1
8,86,Undirected,1
8,98,Undirected,1
8,108,Undirected,1
8,128,Undirected,1
8,177,Undirected,1
8,185,Undirected,1
8,187,Undirected,1
8,197,Undirected,1
8,209,Undirected,1
8,240,Undirected,1
8,245,Undirected,1
8,264,Undirected,1
8,297,Undirected,1
8,305,Undirected,1
8,324,Undirected,1
8,343,Undirected,1
8,398,Undirected,1
8,499,Undirected,1
9,26,Undirected,1
9,29,Undirected,1
9,76,Undirected,1
9,121,Undirected,1
9,137,Undirected,1
9,155,Undirected,1
9,160,Undirected,1
9,169,Undirected,1
9,194,Undirected,1
9,225,Undirected,1
9,232,Undirected,1
